Train data done.
[还, AD, DP:advmod, DPW:当, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[可以, VV, DP:mmod, DPW:当, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[当, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[摄像头, NN, DP:dobj, DPW:当, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[用, VV, DP:conj, DPW:当, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[清晰度, NN, DP:nsubj, DPW:摄像头, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[比, VV, DP:mmod, DPW:摄像头, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[摄像头, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[好多, CD, DP:range, DPW:摄像头, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, SP, DP:dep, DPW:摄像头, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[近, JJ, DP:amod, DPW:距离, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[距离, NN, DP:top, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[有, VE, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[很, AD, DP:advmod, DPW:大, DPPOS:JJ, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[大, JJ, DP:amod, DPW:视差, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[视差, NN, DP:dobj, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[镜头, NN, DP:lobj, DPW:后, DPPOS:LC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
