KEY:NONE --- 0@2 --- W:各 #W:各 WW:[各|DPW:图片] POS:DT #POS:DT PP:[DT|DPPOS:NN] #DP:det OP:NONE EM:NONE
KEY:NONE --- 1@0 --- W:种 #W:种 WW:[种|DPW:各] POS:M #POS:M PP:[M|DPPOS:DT] #DP:clf OP:NONE EM:NONE
KEY:ATTR --- 2@4 --- W:图片 #W:图片 WW:[图片|DPW:格式] POS:NN #POS:NN PP:[NN|DPPOS:NN] #DP:nn OP:NONE EM:NONE
KEY:ATTR --- 3@4 --- W:输出 #W:输出 WW:[输出|DPW:格式] POS:NN #POS:NN PP:[NN|DPPOS:NN] #DP:nn OP:NONE EM:NONE
KEY:ATTR --- 4@7 --- W:格式 #W:格式 WW:[格式|DPW:用] POS:NN #POS:NN PP:[NN|DPPOS:VV] #DP:nsubj OP:NONE EM:NONE
KEY:NONE --- 5@7 --- W:太 #W:太 WW:[太|DPW:用] POS:AD #POS:AD PP:[AD|DPPOS:VV] #DP:advmod OP:NONE EM:NONE
KEY:OP --- 6@7 --- W:好 #W:好 WW:[好|DPW:用] POS:AD #POS:AD PP:[AD|DPPOS:VV] #DP:advmod OP:NONE EM:NONE
KEY:OP --- 7@-1 --- W:用 #W:用 WW:[用|DPW:ROOT] POS:VV #POS:VV PP:[VV|DPPOS:ROOT] #DP:root OP:NONE EM:NONE
KEY:NONE --- 8@7 --- W:了 #W:了 WW:[了|DPW:用] POS:AS #POS:AS PP:[AS|DPPOS:VV] #DP:asp OP:NONE EM:NONE

KEY:NONE --- 0@1 --- W:会 #W:会 WW:[会|DPW:有] POS:VV #POS:VV PP:[VV|DPPOS:VE] #DP:mmod OP:NONE EM:NONE
KEY:NONE --- 1@-1 --- W:有 #W:有 WW:[有|DPW:ROOT] POS:VE #POS:VE PP:[VE|DPPOS:ROOT] #DP:root OP:NONE EM:NONE
KEY:NONE --- 2@1 --- W:镜头 #W:镜头 WW:[镜头|DPW:有] POS:NN #POS:NN PP:[NN|DPPOS:VE] #DP:dobj OP:NONE EM:NONE
KEY:NONE --- 3@1 --- W:盖 #W:盖 WW:[盖|DPW:有] POS:VV #POS:VV PP:[VV|DPPOS:VE] #DP:dep OP:NONE EM:NONE
