KEY:NONE --- 0@2 --- W:还 #W:还 WW:[还|DPW:当] POS:AD #POS:AD PP:[AD|DPPOS:VV] #DP:advmod OP:NONE EM:NONE
KEY:NONE --- 1@2 --- W:可以 #W:可以 WW:[可以|DPW:当] POS:VV #POS:VV PP:[VV|DPPOS:VV] #DP:mmod OP:NONE EM:NONE
KEY:NONE --- 2@-1 --- W:当 #W:当 WW:[当|DPW:ROOT] POS:VV #POS:VV PP:[VV|DPPOS:ROOT] #DP:root OP:NONE EM:NONE
KEY:NONE --- 3@2 --- W:摄像头 #W:摄像头 WW:[摄像头|DPW:当] POS:NN #POS:NN PP:[NN|DPPOS:VV] #DP:dobj OP:NONE EM:NONE
KEY:NONE --- 4@2 --- W:用 #W:用 WW:[用|DPW:当] POS:VV #POS:VV PP:[VV|DPPOS:VV] #DP:conj OP:NONE EM:NONE
KEY:NONE --- 5@5 --- W:。 #W:。 WW:[。|DPW:NONE] POS:PU #POS:PU PP:[PU|DPPOS:NONE] #DP:NONE OP:NONE EM:NONE

KEY:ATTR --- 0@4 --- W:清晰度 #W:清晰度 WW:[清晰度|DPW:多] POS:NN #POS:NN PP:[NN|DPPOS:VA] #DP:nsubj OP:NONE EM:NONE
KEY:NONE --- 1@4 --- W:比 #W:比 WW:[比|DPW:多] POS:P #POS:P PP:[P|DPPOS:VA] #DP:prep OP:NONE EM:NONE
KEY:NONE --- 2@1 --- W:摄像头 #W:摄像头 WW:[摄像头|DPW:比] POS:NN #POS:NN PP:[NN|DPPOS:P] #DP:pobj OP:NONE EM:NONE
KEY:OP --- 3@4 --- W:好 #W:好 WW:[好|DPW:多] POS:AD #POS:AD PP:[AD|DPPOS:VA] #DP:advmod OP:NONE EM:NONE
KEY:NONE --- 4@-1 --- W:多 #W:多 WW:[多|DPW:ROOT] POS:VA #POS:VA PP:[VA|DPPOS:ROOT] #DP:root OP:NONE EM:NONE
KEY:NONE --- 5@4 --- W:了 #W:了 WW:[了|DPW:多] POS:AS #POS:AS PP:[AS|DPPOS:VA] #DP:asp OP:NONE EM:NONE
KEY:NONE --- 6@6 --- W:。 #W:。 WW:[。|DPW:NONE] POS:PU #POS:PU PP:[PU|DPPOS:NONE] #DP:NONE OP:NONE EM:NONE

KEY:NONE --- 0@1 --- W:近 #W:近 WW:[近|DPW:距离] POS:JJ #POS:JJ PP:[JJ|DPPOS:NN] #DP:amod OP:NONE EM:NONE
KEY:NONE --- 1@2 --- W:距离 #W:距离 WW:[距离|DPW:有] POS:NN #POS:NN PP:[NN|DPPOS:VE] #DP:top OP:NONE EM:NONE
KEY:NONE --- 2@-1 --- W:有 #W:有 WW:[有|DPW:ROOT] POS:VE #POS:VE PP:[VE|DPPOS:ROOT] #DP:root OP:NONE EM:NONE
KEY:NONE --- 3@4 --- W:很 #W:很 WW:[很|DPW:大] POS:AD #POS:AD PP:[AD|DPPOS:JJ] #DP:advmod OP:NONE EM:NONE
KEY:OP --- 4@5 --- W:大 #W:大 WW:[大|DPW:视差] POS:JJ #POS:JJ PP:[JJ|DPPOS:NN] #DP:amod OP:NONE EM:NONE
KEY:ATTR --- 5@2 --- W:视差 #W:视差 WW:[视差|DPW:有] POS:NN #POS:NN PP:[NN|DPPOS:VE] #DP:dobj OP:NONE EM:NONE
KEY:NONE --- 6@6 --- W:。 #W:。 WW:[。|DPW:NONE] POS:PU #POS:PU PP:[PU|DPPOS:NONE] #DP:NONE OP:NONE EM:NONE

KEY:NONE --- 0@1 --- W:镜头 #W:镜头 WW:[镜头|DPW:后] POS:NN #POS:NN PP:[NN|DPPOS:LC] #DP:lobj OP:NONE EM:NONE
KEY:NONE --- 1@4 --- W:后 #W:后 WW:[后|DPW:片] POS:LC #POS:LC PP:[LC|DPPOS:NN] #DP:assmod OP:NONE EM:NONE
KEY:NONE --- 2@1 --- W:的 #W:的 WW:[的|DPW:后] POS:DEG #POS:DEG PP:[DEG|DPPOS:LC] #DP:assm OP:NONE EM:NONE
KEY:ATTR --- 3@4 --- W:玻璃 #W:玻璃 WW:[玻璃|DPW:片] POS:NN #POS:NN PP:[NN|DPPOS:NN] #DP:nn OP:NONE EM:NONE
KEY:ATTR --- 4@6 --- W:片 #W:片 WW:[片|DPW:发霉] POS:NN #POS:NN PP:[NN|DPPOS:VV] #DP:nsubj OP:NONE EM:NONE
KEY:NONE --- 5@6 --- W:容易 #W:容易 WW:[容易|DPW:发霉] POS:AD #POS:AD PP:[AD|DPPOS:VV] #DP:advmod OP:POS EM:NONE
KEY:OP --- 6@-1 --- W:发霉 #W:发霉 WW:[发霉|DPW:ROOT] POS:VV #POS:VV PP:[VV|DPPOS:ROOT] #DP:root OP:NONE EM:NONE
KEY:NONE --- 7@7 --- W:。 #W:。 WW:[。|DPW:NONE] POS:PU #POS:PU PP:[PU|DPPOS:NONE] #DP:NONE OP:NONE EM:NONE

KEY:OP --- 0@0 --- W:玩具 #W:玩具 WW:[玩具|DPW:NONE] POS:NN #POS:NN PP:[NN|DPPOS:NONE] #DP:NONE OP:NONE EM:NONE
KEY:NONE --- 1@1 --- W:。 #W:。 WW:[。|DPW:NONE] POS:PU #POS:PU PP:[PU|DPPOS:NONE] #DP:NONE OP:NONE EM:NONE

KEY:OP --- 0@0 --- W:便宜 #W:便宜 WW:[便宜|DPW:NONE] POS:VA #POS:VA PP:[VA|DPPOS:NONE] #DP:NONE OP:POS EM:NONE

KEY:OP --- 0@0 --- W:简单 #W:简单 WW:[简单|DPW:NONE] POS:VA #POS:VA PP:[VA|DPPOS:NONE] #DP:NONE OP:POS EM:NONE

KEY:NONE --- 0@1 --- W:2-3 #W:2-3 WW:[2-3|DPW:分] POS:CD #POS:CD PP:[CD|DPPOS:M] #DP:nummod OP:NONE EM:NONE
KEY:NONE --- 1@-1 --- W:分 #W:分 WW:[分|DPW:ROOT] POS:M #POS:M PP:[M|DPPOS:ROOT] #DP:root OP:NONE EM:NONE

KEY:NONE --- 0@2 --- W:1 #W:1 WW:[1|DPW:1.8ccd] POS:CD #POS:CD PP:[CD|DPPOS:CD] #DP:nummod OP:NONE EM:NONE
KEY:NONE --- 1@1 --- W:/ #W:/ WW:[/|DPW:NONE] POS:PU #POS:PU PP:[PU|DPPOS:NONE] #DP:NONE OP:NONE EM:NONE
